Nasdaq Traded,Symbol,Security Name,Listing Exchange,Market Category,ETF,Round Lot Size,Test Issue,Financial Status,CQS Symbol,NASDAQ Symbol,NextShares,Validation Status,Validation Time (Seconds)
Y,A,"Agilent Technologies, Inc. Common Stock",N, ,N,100.0,N,,A,A,N,Valid,0.730154
Y,AA,Alcoa Corporation Common Stock ,N, ,N,100.0,N,,AA,AA,N,Valid,0.687437
Y,AAA,Alternative Access First Priority CLO Bond ETF,P, ,Y,100.0,N,,AAA,AAA,N,Valid,0.129293
Y,AAAU,Goldman Sachs Physical Gold ETF Shares,Z, ,Y,100.0,N,,AAAU,AAAU,N,Valid,0.175259
Y,AACG,"ATA Creativity Global - American Depositary Shares, each representing two common shares",Q,G,N,100.0,N,D,,AACG,N,Valid,0.245135
Y,AACT,Ares Acquisition Corporation II Class A Ordinary Shares,N, ,N,100.0,N,,AACT,AACT,N,Valid,0.10368
Y,AACT.U,"Ares Acquisition Corporation II Units, each consisting of one Class A ordinary share and one-half of one redeemable warrant",N, ,N,100.0,N,,AACT.U,AACT=,N,Invalid,5.21339
Y,AACT.W,"Ares Acquisition Corporation II Redeemable Warrants, each whole warrant exercisable for one Class A ordinary share at an exercise price of $11.50",N, ,N,100.0,N,,AACT.WS,AACT+,N,Invalid,1.069082
Y,AADI,"Aadi Bioscience, Inc. - Common Stock",Q,S,N,100.0,N,N,,AADI,N,Valid,0.180384
Y,AADR,AdvisorShares Dorsey Wright ADR ETF,Q,G,Y,100.0,N,N,,AADR,N,Valid,0.242364
Y,AAGR,African Agriculture Holdings Inc. - Common Stock,Q,G,N,100.0,N,D,,AAGR,N,Valid,0.145453
Y,AAGRW,African Agriculture Holdings Inc. - Warrant,Q,G,N,100.0,N,D,,AAGRW,N,Invalid,0.08752
Y,AAL,"American Airlines Group, Inc. - Common Stock",Q,Q,N,100.0,N,N,,AAL,N,Valid,0.253156
Y,AAM.U,"AA Mission Acquisition Corp. Units, each consisting of one Class A Ordinary Share and one-half of one redeemable warrant",N, ,N,100.0,N,,AAM.U,AAM=,N,Invalid,2.292473
